57116774	118625	2010	1	1
62460514	363188	2010	1	1
57554792	457478	2010	1	1
62979144	729931	2010	1	1
59811057	867466	2010	1	1
59353057	998034	2010	1	1
59353829	1013029	2010	1	1
62512659	1320568	2010	1	1
62162341	1522441	2010	1	1
63889912	1639186	2010	1	1
63142049	1719259	2010	1	1
62393241	1838124	2010	1	1
55624739	1877392	2010	1	1
62130430	1900568	2010	1	1
61329468	2140014	2010	1	1
61164238	2816723	2010	1	1
62324814	2827121	2010	1	1
57488866	2888900	2010	1	1
54515184	2942653	2010	1	1
62019305	2956097	2010	1	1
63786710	2971006	2010	1	1
58559162	3167701	2010	1	1
62572821	3266819	2010	1	1
68221106	3441798	2010	1	1
62592000	3478069	2010	1	1
62163352	3677039	2010	1	1
63851824	3805859	2010	1	1
62637467	3989280	2010	1	1
63296478	5062397	2010	1	1
59584003	5187238	2010	1	1
63596228	5293711	2010	1	1
53170579	5336490	2010	1	1
57613793	5424198	2010	1	1
63218701	5426335	2010	1	1
54521832	5530120	2010	1	1
56728625	5537226	2010	1	1
62757327	5548937	2010	1	1
62592060	5618384	2010	1	1
63374785	5619267	2010	1	1
62402753	5636104	2010	1	1
63506477	5724797	2010	1	1
54608647	5916923	2010	1	1
62125225	5946339	2010	1	1
63366399	6058439	2010	1	1
59357849	6117389	2010	1	1
61916283	6136521	2010	1	1
63567871	6146621	2010	1	1
63198214	6147969	2010	1	1
63366324	6165940	2010	1	1
63376959	6319495	2010	1	1
63175823	6409173	2010	1	1
63146741	6413156	2010	1	1
63146814	6413157	2010	1	1
63146666	6500920	2010	1	1
63146792	6501083	2010	1	1
59792487	6526239	2010	1	1
65748539	6630228	2010	1	1
67013257	6807471	2010	1	1
62915634	6838155	2010	1	1
62761219	6882645	2010	1	1
63221599	6992301	2010	1	1
